epoch,train_loss,train_acc,val_loss,val_acc,train_acc_Body-WeightSquats,val_acc_Body-WeightSquats,train_acc_HandstandPushups,val_acc_HandstandPushups,train_acc_HandstandWalking,val_acc_HandstandWalking,train_acc_JumpingJack,val_acc_JumpingJack,train_acc_JumpRope,val_acc_JumpRope,train_acc_Lunges,val_acc_Lunges,train_acc_PullUps,val_acc_PullUps,train_acc_PushUps,val_acc_PushUps,train_acc_TrampolineJumping,val_acc_TrampolineJumping,train_acc_WallPushups,val_acc_WallPushups
27,0.6911176604450129,76.0,0.41078193024977255,88.33333333333333,74.0,65.0,70.6,75.0,77.4,89.16666666666667,71.2,91.66666666666667,78.2,100.0,77.8,96.66666666666667,75.0,79.16666666666667,82.6,87.5,79.8,99.16666666666667,73.4,100.0
28,0.7039460289250513,75.72,0.43867462706801136,87.83333333333333,76.2,64.16666666666667,75.0,75.0,77.0,85.0,70.2,91.66666666666667,74.8,100.0,74.4,98.33333333333333,77.8,77.5,78.0,86.66666666666667,79.6,100.0,74.2,100.0
29,0.6773882652543912,76.56,0.43563444098751797,88.0,76.8,65.0,73.2,75.0,76.4,84.16666666666667,70.8,91.66666666666667,77.2,100.0,76.2,97.5,79.0,80.0,81.2,86.66666666666667,82.0,100.0,72.8,100.0
30,0.6984404359653498,76.14,0.42137699672266055,87.83333333333333,75.6,64.16666666666667,71.8,75.0,75.0,87.5,66.2,91.66666666666667,77.6,100.0,78.6,96.66666666666667,74.8,76.66666666666667,81.4,86.66666666666667,84.2,100.0,76.2,100.0
31,0.6893960305839587,76.38,0.4340241529341591,87.91666666666667,73.0,63.333333333333336,71.8,75.0,77.6,84.16666666666667,70.4,91.66666666666667,78.4,100.0,77.2,98.33333333333333,74.6,80.0,81.4,86.66666666666667,80.8,100.0,78.6,100.0
32,0.6728105081874094,76.54,0.43918092793932084,87.91666666666667,76.6,64.16666666666667,72.6,75.0,77.4,85.83333333333333,69.8,91.66666666666667,77.0,100.0,77.0,95.83333333333333,76.8,77.5,80.4,89.16666666666667,84.0,100.0,73.8,100.0
33,0.6758354933588369,76.7,0.4402557086983794,87.75,77.8,64.16666666666667,75.8,75.0,82.0,85.83333333333333,69.4,91.66666666666667,73.4,100.0,76.8,95.83333333333333,76.4,75.83333333333333,78.8,89.16666666666667,83.4,100.0,73.2,100.0
34,0.6550675332546234,77.88,0.43613417534843874,87.33333333333333,77.0,65.0,77.0,75.0,80.6,79.16666666666667,70.8,91.66666666666667,75.8,100.0,79.4,96.66666666666667,79.2,76.66666666666667,82.0,90.0,82.2,99.16666666666667,74.8,100.0
35,0.6872534789856831,75.92,0.4311364854833013,87.5,77.4,65.0,69.4,75.0,79.0,84.16666666666667,69.6,91.66666666666667,75.6,100.0,75.0,94.16666666666667,75.4,78.33333333333333,79.2,87.5,83.8,99.16666666666667,74.8,100.0
36,0.6631043652060685,77.08,0.4173008339773667,87.75,79.2,64.16666666666667,72.2,75.0,79.4,85.83333333333333,67.0,91.66666666666667,79.0,100.0,78.8,95.0,78.2,78.33333333333333,79.4,87.5,83.0,100.0,74.6,100.0
37,0.673272246008466,76.52,0.42623143466679675,88.08333333333333,74.6,65.0,74.6,75.0,78.8,86.66666666666667,71.6,91.66666666666667,77.8,100.0,75.2,95.0,79.8,79.16666666666667,78.8,89.16666666666667,79.8,99.16666666666667,74.2,100.0
38,0.6649338092393936,77.18,0.4188313643006902,87.66666666666667,76.8,65.0,72.6,75.0,80.6,85.0,71.4,91.66666666666667,77.8,100.0,74.4,96.66666666666667,79.4,75.83333333333333,78.0,88.33333333333333,85.2,99.16666666666667,75.6,100.0
39,0.6653439907511328,77.3,0.43541869491730867,87.66666666666667,81.2,65.0,74.4,75.0,80.0,85.83333333333333,70.2,91.66666666666667,77.8,100.0,76.8,95.83333333333333,73.4,75.0,82.6,90.0,82.2,98.33333333333333,74.4,100.0
40,0.6758105426457277,76.92,0.4030106274999286,87.91666666666667,78.2,65.0,74.0,75.0,77.2,85.0,71.8,91.66666666666667,77.6,100.0,76.6,99.16666666666667,76.6,76.66666666666667,80.4,89.16666666666667,83.0,97.5,73.8,100.0
41,0.6685458518517245,77.02,0.41116189770400524,88.16666666666667,75.4,65.0,73.2,75.0,79.2,88.33333333333333,73.8,91.66666666666667,76.4,100.0,77.4,94.16666666666667,77.8,79.16666666666667,79.0,89.16666666666667,80.4,99.16666666666667,77.6,100.0
42,0.6565768714923008,77.8,0.40843569291265386,88.58333333333333,79.6,65.0,76.0,75.0,78.6,86.66666666666667,71.8,91.66666666666667,80.0,100.0,76.6,97.5,80.0,80.83333333333333,81.0,90.0,79.4,99.16666666666667,75.0,100.0
43,0.6633850288618902,77.02,0.4107441712955111,88.08333333333333,76.6,65.0,73.6,77.5,79.8,83.33333333333333,72.4,91.66666666666667,79.6,100.0,75.0,97.5,76.0,76.66666666666667,81.6,90.0,82.0,99.16666666666667,73.6,100.0
44,0.6572791068417252,77.74,0.40875961670750066,88.25,80.6,64.16666666666667,74.2,75.0,77.0,84.16666666666667,69.0,91.66666666666667,76.6,100.0,79.6,98.33333333333333,81.6,80.0,83.8,90.0,79.0,99.16666666666667,76.0,100.0
45,0.6747206384968606,76.54,0.4179804439803487,88.41666666666667,79.8,64.16666666666667,73.0,75.0,77.6,86.66666666666667,67.8,91.66666666666667,76.6,100.0,77.8,97.5,77.0,80.0,79.4,90.0,80.6,99.16666666666667,75.8,100.0
46,0.6855191254312065,76.26,0.41336590345752866,88.16666666666667,76.8,64.16666666666667,73.2,75.0,77.2,86.66666666666667,73.6,91.66666666666667,75.6,100.0,76.2,98.33333333333333,78.6,76.66666666666667,76.8,90.0,78.8,99.16666666666667,75.8,100.0
47,0.6749683954533497,76.86,0.4187818022542878,87.91666666666667,79.6,65.0,75.2,75.0,80.0,85.83333333333333,71.0,91.66666666666667,79.0,100.0,77.2,97.5,75.2,75.83333333333333,78.6,89.16666666666667,78.2,99.16666666666667,74.6,100.0
48,0.690317003020815,76.2,0.4074486811694346,88.0,76.0,65.0,68.8,75.0,77.0,87.5,71.0,91.66666666666667,79.6,100.0,77.0,96.66666666666667,77.4,75.0,80.4,90.0,78.0,99.16666666666667,76.8,100.0
49,0.6720843601758313,76.62,0.40794431859333263,88.08333333333333,76.4,64.16666666666667,69.0,75.0,78.6,87.5,69.4,91.66666666666667,78.4,100.0,78.8,95.83333333333333,76.8,77.5,78.2,90.0,81.6,99.16666666666667,79.0,100.0
50,0.6615762485155634,77.42,0.41299945782673986,87.91666666666667,79.2,64.16666666666667,77.4,76.66666666666667,78.2,85.0,68.6,91.66666666666667,78.2,100.0,76.6,95.83333333333333,77.8,76.66666666666667,79.4,90.0,81.4,99.16666666666667,77.4,100.0
