epoch,train_loss,train_acc,val_loss,val_acc,train_acc_Body-WeightSquats,val_acc_Body-WeightSquats,train_acc_HandstandPushups,val_acc_HandstandPushups,train_acc_HandstandWalking,val_acc_HandstandWalking,train_acc_JumpingJack,val_acc_JumpingJack,train_acc_JumpRope,val_acc_JumpRope,train_acc_Lunges,val_acc_Lunges,train_acc_PullUps,val_acc_PullUps,train_acc_PushUps,val_acc_PushUps,train_acc_TrampolineJumping,val_acc_TrampolineJumping,train_acc_WallPushups,val_acc_WallPushups
1,1.5459760833697713,59.2,2.174974897974416,28.75,45.2,8.333333333333334,91.0,10.0,49.2,40.0,60.0,23.333333333333332,63.0,10.833333333333334,57.4,45.0,58.6,1.6666666666666667,49.2,66.66666666666667,53.4,35.0,65.0,46.666666666666664
2,1.0511174555037432,73.86,2.1266195366257117,30.416666666666668,66.8,8.333333333333334,86.4,0.0,70.4,59.166666666666664,74.8,19.166666666666668,69.0,16.666666666666668,73.6,45.833333333333336,74.0,4.166666666666667,68.0,64.16666666666667,69.2,35.833333333333336,86.4,50.833333333333336
3,0.9031099141783016,74.56,2.12882715306784,29.25,69.8,8.333333333333334,83.0,3.3333333333333335,72.0,64.16666666666667,69.8,20.0,68.0,15.833333333333334,75.8,44.166666666666664,78.8,5.0,76.0,51.666666666666664,71.4,41.666666666666664,81.0,38.333333333333336
4,0.8283989194092477,75.18,2.1111581200047542,28.666666666666668,69.6,8.333333333333334,81.4,0.8333333333333334,72.2,60.833333333333336,68.0,16.666666666666668,73.8,16.666666666666668,77.8,43.333333333333336,83.2,0.0,73.6,46.666666666666664,70.0,44.166666666666664,82.2,49.166666666666664
5,0.7787680409516499,75.58,2.0836335169641593,30.833333333333332,71.0,8.333333333333334,76.2,1.6666666666666667,74.2,70.83333333333333,75.0,16.666666666666668,74.2,15.833333333333334,73.6,44.166666666666664,84.6,0.0,76.6,55.0,71.8,48.333333333333336,78.6,47.5
6,0.7548757110052048,75.36,2.1146120617264197,26.916666666666668,66.4,8.333333333333334,76.4,0.8333333333333334,79.4,71.66666666666667,75.0,16.666666666666668,76.4,16.666666666666668,74.0,44.166666666666664,81.4,0.0,75.2,50.833333333333336,75.2,45.833333333333336,74.2,14.166666666666666
7,0.7405070751715618,76.18,2.087179965878788,28.416666666666668,70.2,8.333333333333334,75.4,0.0,76.6,59.166666666666664,74.0,16.666666666666668,75.0,16.666666666666668,72.6,44.166666666666664,85.4,2.5,79.2,60.0,75.8,52.5,77.6,24.166666666666668
8,0.7060793414237393,76.54,2.106103891604825,30.333333333333332,71.0,8.333333333333334,75.2,8.333333333333334,76.2,64.16666666666667,77.0,16.666666666666668,75.0,16.666666666666668,76.0,43.333333333333336,86.4,0.0,73.2,52.5,77.4,50.833333333333336,78.0,42.5
9,0.7102283505117817,76.2,2.0908431920566057,29.5,74.0,8.333333333333334,78.8,0.0,73.6,51.666666666666664,76.2,16.666666666666668,82.2,16.666666666666668,72.6,44.166666666666664,83.0,0.0,70.4,58.333333333333336,76.6,52.5,74.6,46.666666666666664
10,0.7261550882060057,75.74,2.095769729857382,26.583333333333332,66.8,8.333333333333334,82.4,9.166666666666666,79.6,60.0,75.2,16.666666666666668,73.4,15.833333333333334,72.2,44.166666666666664,81.8,2.5,73.6,45.0,75.4,50.833333333333336,77.0,13.333333333333334
