epoch,train_accuracy,train_avg_loss
1,16.400000000000002,0.3165035605430603
2,27.800000000000004,0.2508634479045868
3,29.4,0.23989411783218384
4,37.8,0.2226549894809723
5,45.6,0.19176445984840393
6,52.6,0.17089505970478058
7,60.8,0.14369240307807923
8,70.19999999999999,0.11426741406321525
9,72.6,0.09873839795589447
10,81.8,0.0747081143707037
11,84.39999999999999,0.06498224505037069
12,86.8,0.05630681027472019
13,88.8,0.04241632786020637
14,88.4,0.041092355620116
15,91.60000000000001,0.03199473612010479
16,94.19999999999999,0.021959382321685553
17,90.2,0.03399020381458104
18,93.0,0.027722447492182254
19,93.4,0.02536387865059078
20,95.0,0.021520707956515252
21,94.0,0.024028333159163594
22,96.0,0.019231873370707035
23,96.39999999999999,0.014290661609964445
24,96.8,0.011565774979302659
25,98.2,0.007258739346871153
26,97.0,0.009222000824869611
27,96.2,0.014455097737256438
28,97.8,0.009134736552136018
29,96.8,0.012427570555359126
30,97.2,0.013330176347866655
31,95.19999999999999,0.020503322875709273
32,96.8,0.012095015979604795
33,98.0,0.008784732616390102
34,99.4,0.0038290820569382047
35,98.8,0.005231832287376164
36,97.2,0.009015394754358568
37,94.6,0.020440839382004923
38,96.2,0.014737244875053875
39,98.0,0.007583299237652682
40,96.2,0.014430194131447933
41,97.0,0.01454382804845227
42,97.0,0.013797087097365875
43,95.8,0.014149634438566863
44,96.39999999999999,0.011495909957680852
45,98.0,0.010120505383845738
46,97.2,0.012788855641672854
47,98.2,0.007061412744980771
48,97.8,0.008397856529656566
49,97.2,0.011308651119827118
50,95.19999999999999,0.02095691577543039
51,96.6,0.010824554718783474
52,99.0,0.004740667725252024
53,98.4,0.006860730304120807
54,98.0,0.005007483064939151
55,98.4,0.003741529241306125
56,98.4,0.007672780970373339
57,97.2,0.009419821877367212
58,98.2,0.007459792246081633
59,98.4,0.006784817762904595
60,96.39999999999999,0.013146539684414165
61,98.2,0.008156556826186715
62,98.8,0.0029756057206832337
63,98.2,0.005546088710162622
64,98.2,0.006581304592307788
65,99.2,0.002014963417241688
66,99.2,0.0024476627754811487
67,99.0,0.0025888121247057824
68,98.0,0.008270958127034647
69,99.0,0.005222835529531949
70,99.2,0.003237874012558677
71,99.4,0.0025778588424077496
72,99.4,0.002380894080836697
73,99.0,0.0027403391295592883
74,99.4,0.003350578167317508
75,99.2,0.003513148930521311
76,98.6,0.006072146428970882
77,97.2,0.012319201548627461
78,96.8,0.010403015311880153
79,98.8,0.005867375517794244
80,98.8,0.0038287801144761035
81,96.39999999999999,0.012922319128167147
82,97.8,0.010540414382710878
83,97.2,0.009812589156832701
84,98.8,0.005548614584517964
85,99.4,0.002943281316127468
86,99.8,0.001883739557391891
87,99.6,0.0025676938429762684
88,99.2,0.003294033077538188
89,99.8,0.0010865210652395946
90,98.2,0.005267798805938441
91,96.6,0.014535533168930215
92,96.0,0.012490626476152102
93,97.6,0.009035872089181794
94,98.2,0.005897269608075248
95,98.6,0.008163771434320665
96,97.6,0.006831346632270481
97,98.4,0.007308014947810076
98,98.4,0.005471188369331173
99,98.8,0.004823463052066927
100,97.8,0.007307250640573784
